Datum;Standort;Temperatur_C;Temperatur_min_C;Temperatur_max_C;Niederschlag_mm
2026-05-01;Hauptplatz;13,1;9,1;17,0;0,0
2026-05-02;Hauptplatz;15,2;9,8;20,6;5,4
2026-05-03;Hauptplatz;18,1;12,7;23,5;0,0
2026-05-04;Hauptplatz;17,5;12,5;22,5;6,6
2026-05-05;Hauptplatz;18,0;12,3;23,7;11,6
2026-05-06;Hauptplatz;16,7;12,5;20,9;0,0
2026-05-07;Hauptplatz;16,2;9,4;23,1;0,0
2026-05-08;Hauptplatz;14,4;10,3;18,5;8,5
2026-05-09;Hauptplatz;14,4;9,9;18,8;0,0
2026-05-10;Hauptplatz;18,3;11,3;25,3;4,9
2026-05-11;Hauptplatz;15,7;9,5;21,8;0,0
2026-05-12;Hauptplatz;18,6;13,5;23,8;0,0
2026-05-13;Hauptplatz;14,0;9,7;18,3;6,3
2026-05-14;Hauptplatz;14,6;8,9;20,4;0,0
2026-05-15;Hauptplatz;15,1;9,7;20,5;0,0
2026-05-16;Hauptplatz;19,2;14,8;23,7;0,0
2026-05-17;Hauptplatz;18,3;12,3;24,3;0,0
2026-05-18;Hauptplatz;18,1;12,8;23,3;2,8
2026-05-19;Hauptplatz;15,1;10,0;20,1;0,0
2026-05-20;Hauptplatz;16,3;11,3;21,3;0,0
2026-05-21;Hauptplatz;16,4;11,9;20,9;4,9
2026-05-22;Hauptplatz;17,8;13,5;22,1;0,0
2026-05-23;Hauptplatz;16,0;12,3;19,7;0,0
2026-05-24;Hauptplatz;19,6;12,8;26,4;0,0
2026-05-25;Hauptplatz;18,4;14,1;22,8;0,0
2026-05-26;Hauptplatz;18,1;12,4;23,7;0,0
2026-05-27;Hauptplatz;18,9;13,9;24,0;0,0
2026-05-28;Hauptplatz;17,9;13,2;22,5;0,0
2026-05-29;Hauptplatz;18,9;13,0;24,7;0,0
2026-05-30;Hauptplatz;20,0;14,8;25,2;0,0
2026-05-31;Hauptplatz;17,8;13,4;22,2;3,0
2026-06-01;Hauptplatz;16,1;9,6;22,5;0,0
2026-06-02;Hauptplatz;20,9;15,7;26,0;0,0
2026-06-03;Hauptplatz;19,2;15,1;23,3;8,8
2026-06-04;Hauptplatz;18,0;13,7;22,4;26,8
