Datum;Temperatur_C;Niederschlag_mm
2026-05-01;12,1;0,0
2026-05-02;16,4;7,7
2026-05-03;12,3;3,9
2026-05-04;13,5;0,0
2026-05-05;17,0;4,2
2026-05-06;17,6;4,0
2026-05-07;17,6;2,6
2026-05-08;18,5;5,2
2026-05-09;18,2;0,0
2026-05-10;17,1;0,0
2026-05-11;16,2;0,0
2026-05-12;15,8;0,0
2026-05-13;17,5;0,0
2026-05-14;13,3;22,8
2026-05-15;16,8;0,0
2026-05-16;19,0;0,0
2026-05-17;20,0;0,0
2026-05-18;17,4;5,4
2026-05-19;13,8;4,1
2026-05-20;19,0;0,0
2026-05-21;16,7;0,0
2026-05-22;20,2;0,0
2026-05-23;15,4;4,7
2026-05-24;18,2;4,9
2026-05-25;17,8;0,0
2026-05-26;18,7;6,9
2026-05-27;15,4;0,0
2026-05-28;14,9;0,0
2026-05-29;17,3;0,0
2026-05-30;17,9;5,5
2026-05-31;18,7;0,0
2026-06-01;18,4;0,0
2026-06-02;17,0;0,0
2026-06-03;18,9;0,4
2026-06-04;18,2;25,2
2026-06-05;16,4;6,1
2026-06-06;18,5;0,0
2026-06-07;18,0;0,0
2026-06-08;15,3;7,7
2026-06-09;21,5;0,0
2026-06-10;17,7;0,0
2026-06-11;20,8;0,0
2026-06-12;16,9;13,3
2026-06-13;15,9;13,0
2026-06-14;19,2;0,0
2026-06-15;17,1;0,2
2026-06-16;19,4;5,2
2026-06-17;20,3;0,0
2026-06-18;17,4;15,2
2026-06-19;17,2;0,0
2026-06-20;23,1;0,0
2026-06-21;18,6;0,0
2026-06-22;18,0;13,0
2026-06-23;23,0;0,0
2026-06-24;19,7;0,0
2026-06-25;20,9;4,1
2026-06-26;18,5;0,0
2026-06-27;17,8;0,0
2026-06-28;20,9;1,0
2026-06-29;17,5;0,0
2026-06-30;21,3;1,0
2026-07-01;20,5;0,0
2026-07-02;17,7;0,0
2026-07-03;20,7;0,0
2026-07-04;20,2;0,0
2026-07-05;19,8;0,0
2026-07-06;21,2;9,9
2026-07-07;23,1;0,0
2026-07-08;23,6;7,3
2026-07-09;22,6;0,0
2026-07-10;20,3;0,0
2026-07-11;24,3;2,4
2026-07-12;21,5;0,0
2026-07-13;21,2;0,0
2026-07-14;22,9;0,0
2026-07-15;25,0;0,0
2026-07-16;21,2;0,0
2026-07-17;23,0;0,0
2026-07-18;20,9;0,0
2026-07-19;22,9;5,6
2026-07-20;23,9;1,1
2026-07-21;25,3;0,0
2026-07-22;20,9;0,0
2026-07-23;22,0;4,7
2026-07-24;24,0;0,0
2026-07-25;23,7;0,0
2026-07-26;26,5;0,0
2026-07-27;23,4;0,0
2026-07-28;24,5;7,9
2026-07-29;25,8;0,0
2026-07-30;26,0;0,0
2026-07-31;26,8;0,0
